Detailed Location,Began,Duration(Days),Year,Dead,Displaced,Damage(USD),Magnitude,Main Cause,Severity,Affected(sqkm),Longitude,Latitude,Magnitude Scale
Zhejiang Province - Hangzhou city. Ningbo and Zhoushan,1988-08-07,2,1988,117,188000,200000000,4.4,Tropical Cyclone,1.0,12334,120.998,30.1638,Medium
"Guangdong Province, Counties:  Haikang, Lianjiang, Suyixi",1985-09-01,4,1985,26,70000,Unknown,4.6,Torrential Rain,1.0,11098,110.542,21.0725,Medium
Guangxi Province,1985-08-30,10,1985,0,200000,Unknown,5.7,Torrential Rain,1.0,49643,109.825,21.6782,Medium
"Hunan Province, Chenzhou Prefecture",1985-08-30,5,1985,147,0,Unknown,5.3,Tropical Cyclone,1.0,38002,111.342,25.3728,Medium
Yunnan Province,1985-08-06,4,1985,283,14000,Unknown,5.8,Torrential Rain,1.0,146691,100.797,23.5255,Medium
"Shanghai, Chongming isla",1985-08-01,2,1985,3,200000,Unknown,5.1,Torrential Rain,1.0,58279,120.376,31.5112,Medium
"Provinces:  Liaoning, Jilin,  Heilongjiang, ShaongRivers: Yalu, Liao, Hun, Taizhi, Liaohe",1985-07-20,45,1985,200,2000000,350000000,8.0,Tropical Cyclone,2.0,994498,125.156,42.6953,High
"Provinces: Guizhou a Sichuan; City: Xichang Rivers: Yangtse, Jinsha",1985-06-28,13,1985,275,60000,Unknown,6.9,Torrential Rain,2.0,290679,109.974,27.7882,High
"Guangxi Autonomous Region, Hunan Province, Guilin",1985-05-26,12,1985,64,10000,Unknown,7.0,Torrential Rain,2.0,458666,109.57,25.6694,High
"Jinshan township of Huma County, Heilongjiang River",1985-04-21,9,1985,0,200,1300000,6.4,Ice jam/break-up,1.0,300325,127.897,48.0917,High
