Detailed Location,Began,Duration(Days),Year,Dead,Displaced,Damage(USD),Magnitude,Main Cause,Severity,Affected(sqkm),Longitude,Latitude,Magnitude Scale
"Western Guangdong, Maoming, Guangxi Zhuang region, Sansui city, Pearl River delta",2008-06-07,16,2008,176,1600000,2000000000,7.0,Torrential Rain,2.0,350563,91.5452,25.1835,High
"Southern China: Guiyang, Anshun, 15 other cities, Ghuizhou, Hubei, Guangxi, Hunan, Jiangxi, Guangdong, Sichuan, Chongquing, Shaanxi provinces",2008-05-27,10,2008,64,5000,Unknown,6.2,Torrential Rain,1.0,144704,105.815,26.6159,Medium
"Hubei Province - Dangyang, Shayang, Wuhan. Xiaogan and Yunmeng",2008-05-02,4,2008,3,351,Unknown,5.2,Torrential Rain,1.0,43958,113.026,30.8658,Medium
"Anhui - northern areas - Suzhou, Bengbu and Fuyang. Suzhou City. Sixian and Lingbi counties.",2008-04-20,4,2008,0,0,Unknown,4.9,Torrential Rain,1.0,20737,116.476,33.4521,Medium
"Ningxia Hui, Inner Mongolia - Duguitala, Hangjin Banner, Ordos city. Kubuqi desert. Hetao area, Wuliangsu Lake. Erdos, Bayan Nur.",2008-03-03,30,2008,0,13700,Unknown,6.5,Ice jam/break-up,1.5,64010,106.735,39.4142,High
"Xinjiang - Ili valley, Kazakh Prefecture",2008-02-01,25,2008,0,8000,Unknown,5.6,Ice jam/break-up,1.0,17161,81.8763,43.7745,Medium
Shaanxi Province - Ankang city area,2007-08-31,3,2007,7,0,Unknown,4.1,Torrential Rain,1.0,4380,108.872,32.7825,Medium
"Sichuan - Yibin city, Xinshi Town. Pingshan countyYunnan - Zhaotong area.",2007-08-22,6,2007,17,2309,Unknown,5.3,Torrential Rain,1.0,32590,104.066,27.719,Medium
Shandong Province - eastern and southern parts,2007-08-09,4,2007,26,70000,Unknown,5.6,Torrential Rain,1.0,100076,118.719,36.3693,Medium
"Yunnan Province - Tengchong, Pu'er and Dehong, Yingjiang. Lincang city. Fuyuan County. Yun County. Yuanjiang",2007-07-18,27,2007,170,10000,40000000,6.6,Torrential Rain,1.0,165133,100.164,24.0984,High
"Shandong Province - Jinan, Qingdao, Yantai and Zibo",2007-07-18,5,2007,40,112600,15300000,5.7,Torrential Rain,1.0,96491,119.228,36.6842,Medium
"Xinjiang Uygur Region - Urumqi. Kanas, Burqin County. Luntai county. Changji Hui. Bayingolin. Ruoqiang. Huocheng. Hami Prefecture",2007-07-14,21,2007,29,38500,80000000,7.2,Torrential Rain,1.0,812726,88.212,43.0901,High
